algorithm,baseline_mean_score,baseline_best_score,agent_mean_holdout_score,agent_best_holdout_score,mean_delta_agent_minus_baseline,best_delta_agent_minus_baseline
de,-1.6907817484776217,-1.6907817484776217,-0.8704492034831838,-0.8704492034831838,0.820332544994438,0.820332544994438
gwo,0.4027474755045066,0.4027474755045066,-0.8704492034831838,-0.8704492034831838,-1.2731966789876905,-1.2731966789876905
pso,0.3202423854373483,0.3202423854373483,-0.8704492034831838,-0.8704492034831838,-1.190691588920532,-1.190691588920532
sa,-23.04286570965774,-23.04286570965774,-0.8704492034831838,-0.8704492034831838,22.172416506174557,22.172416506174557
